email_id_a,email_id_b,cosine_similarity,evidence_type
nazario5_000076_3e8823d6f7d5,nazario5_000262_6e43a3d64c4a,0.95880413,char_3_5gram_tfidf_cosine
nazario5_000076_3e8823d6f7d5,nazario5_000339_e73393e74196,0.95385563,char_3_5gram_tfidf_cosine
nazario5_000076_3e8823d6f7d5,nazario5_000365_62ad605b1c08,0.9531337,char_3_5gram_tfidf_cosine
nazario5_000076_3e8823d6f7d5,nazario5_000366_da306c3c33bf,0.95355523,char_3_5gram_tfidf_cosine
nazario5_000076_3e8823d6f7d5,nazario5_001514_bc550f0f19d9,0.95767212,char_3_5gram_tfidf_cosine
nazario5_000076_3e8823d6f7d5,nazario5_001686_3e9ade6a1288,0.95770919,char_3_5gram_tfidf_cosine
nazario5_000076_3e8823d6f7d5,nazario5_001815_dd5939d46520,0.95762658,char_3_5gram_tfidf_cosine
nazario5_000076_3e8823d6f7d5,nazario5_001839_e3e3a57a8961,0.96000564,char_3_5gram_tfidf_cosine
nazario5_000076_3e8823d6f7d5,nazario5_001959_d5299ff0ee62,0.95862043,char_3_5gram_tfidf_cosine
nazario5_000076_3e8823d6f7d5,nazario5_001962_51ef1c5c4003,0.95813191,char_3_5gram_tfidf_cosine
nazario5_000076_3e8823d6f7d5,nazario5_001982_c8c60782a52f,0.95827222,char_3_5gram_tfidf_cosine
nazario5_000076_3e8823d6f7d5,nazario5_002233_9e4bac512fe6,0.95183295,char_3_5gram_tfidf_cosine
nazario5_000076_3e8823d6f7d5,nazario5_002954_332d832c805a,0.95595711,char_3_5gram_tfidf_cosine
nazario5_000079_6aaf50cfe3b8,nazario5_000117_a095b05b6e42,0.97862178,char_3_5gram_tfidf_cosine
nazario5_000082_c23a2155a307,nazario5_000084_07ddfa93d82d,0.97470999,char_3_5gram_tfidf_cosine
nazario5_000087_85015231c66a,nazario5_000197_3ebb103d2dea,0.98275125,char_3_5gram_tfidf_cosine
nazario5_000087_85015231c66a,nazario5_000204_37a3ec70e036,0.99388611,char_3_5gram_tfidf_cosine
nazario5_000087_85015231c66a,nazario5_000222_13aed61e3c24,0.97644633,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_000164_fe2b32f16286,0.9736979,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_000262_6e43a3d64c4a,0.95586938,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_000339_e73393e74196,0.97011423,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_000365_62ad605b1c08,0.9688791,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_000366_da306c3c33bf,0.96936041,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_000591_0e006c61b97c,0.95568538,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_000667_279845739081,0.95516706,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_001514_bc550f0f19d9,0.97222465,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_001686_3e9ade6a1288,0.9722634,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_001815_dd5939d46520,0.97218448,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_001839_e3e3a57a8961,0.97412246,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_001959_d5299ff0ee62,0.97418725,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_001962_51ef1c5c4003,0.97342628,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_001982_c8c60782a52f,0.97349578,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_002017_f164e4abbe5b,0.95132941,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_002233_9e4bac512fe6,0.96550405,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_002266_b77596ff5844,0.95827025,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_002540_12b3c870a329,0.95697927,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_002737_9124b23d3d41,0.9546814,char_3_5gram_tfidf_cosine
nazario5_000093_a1e4b9648f27,nazario5_002954_332d832c805a,0.969006,char_3_5gram_tfidf_cosine
nazario5_000095_06bb10224e5d,nazario5_000182_bef0b67fbfc6,0.95062035,char_3_5gram_tfidf_cosine
nazario5_000141_29816ff45512,nazario5_000142_b1508338ea36,0.98148412,char_3_5gram_tfidf_cosine
nazario5_000148_1bcef0ddd962,nazario5_000151_68755deb33be,0.99937272,char_3_5gram_tfidf_cosine
nazario5_000156_6c27f7d968df,nazario5_000157_f6be30ca6bf1,0.99374163,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_000262_6e43a3d64c4a,0.97187871,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_000339_e73393e74196,0.98281741,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_000365_62ad605b1c08,0.98159778,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_000366_da306c3c33bf,0.98128372,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_000591_0e006c61b97c,0.96802109,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_000667_279845739081,0.96719128,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_001514_bc550f0f19d9,0.98346972,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_001686_3e9ade6a1288,0.9835121,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_001815_dd5939d46520,0.98342848,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_001839_e3e3a57a8961,0.98653644,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_001959_d5299ff0ee62,0.98639864,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_001962_51ef1c5c4003,0.98527396,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_001982_c8c60782a52f,0.98554552,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_002016_2226c0df157c,0.95951897,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_002017_f164e4abbe5b,0.960289,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_002233_9e4bac512fe6,0.97748584,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_002266_b77596ff5844,0.96838444,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_002334_2a2f65a3f53a,0.9587276,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_002540_12b3c870a329,0.96729714,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_002737_9124b23d3d41,0.96522403,char_3_5gram_tfidf_cosine
nazario5_000164_fe2b32f16286,nazario5_002954_332d832c805a,0.98121166,char_3_5gram_tfidf_cosine
nazario5_000172_97dad7f46c71,nazario5_000242_633bc67f6150,0.99608898,char_3_5gram_tfidf_cosine
nazario5_000197_3ebb103d2dea,nazario5_000204_37a3ec70e036,0.98781729,char_3_5gram_tfidf_cosine
nazario5_000197_3ebb103d2dea,nazario5_000222_13aed61e3c24,0.97602022,char_3_5gram_tfidf_cosine
nazario5_000198_be6c1cb45139,nazario5_000285_b2bcd37266b5,0.95712835,char_3_5gram_tfidf_cosine
nazario5_000204_37a3ec70e036,nazario5_000222_13aed61e3c24,0.98343199,char_3_5gram_tfidf_cosine
nazario5_000204_37a3ec70e036,nazario5_001890_52fa00496fbe,0.95838225,char_3_5gram_tfidf_cosine
nazario5_000204_37a3ec70e036,nazario5_002093_6039068f355c,0.9541173,char_3_5gram_tfidf_cosine
nazario5_000204_37a3ec70e036,nazario5_002699_c4c8fdaa8a40,0.95840275,char_3_5gram_tfidf_cosine
nazario5_000222_13aed61e3c24,nazario5_001890_52fa00496fbe,0.95609695,char_3_5gram_tfidf_cosine
nazario5_000222_13aed61e3c24,nazario5_002093_6039068f355c,0.95226699,char_3_5gram_tfidf_cosine
nazario5_000222_13aed61e3c24,nazario5_002699_c4c8fdaa8a40,0.95611596,char_3_5gram_tfidf_cosine
nazario5_000231_da741cdd3ede,nazario5_002642_ac6bef71ab1b,0.96513516,char_3_5gram_tfidf_cosine
nazario5_000241_54c7bf457d10,nazario5_000290_5da3efb8fe2e,0.95658296,char_3_5gram_tfidf_cosine
nazario5_000258_b61ffede6156,nazario5_000263_36f640d09d15,0.95184451,char_3_5gram_tfidf_cosine
nazario5_000262_6e43a3d64c4a,nazario5_000339_e73393e74196,0.95637852,char_3_5gram_tfidf_cosine
nazario5_000262_6e43a3d64c4a,nazario5_000365_62ad605b1c08,0.95594293,char_3_5gram_tfidf_cosine
nazario5_000262_6e43a3d64c4a,nazario5_000366_da306c3c33bf,0.95658815,char_3_5gram_tfidf_cosine
nazario5_000262_6e43a3d64c4a,nazario5_001514_bc550f0f19d9,0.96055228,char_3_5gram_tfidf_cosine
nazario5_000262_6e43a3d64c4a,nazario5_001686_3e9ade6a1288,0.96059972,char_3_5gram_tfidf_cosine
nazario5_000262_6e43a3d64c4a,nazario5_001815_dd5939d46520,0.96054316,char_3_5gram_tfidf_cosine
nazario5_000262_6e43a3d64c4a,nazario5_001839_e3e3a57a8961,0.9619208,char_3_5gram_tfidf_cosine
nazario5_000262_6e43a3d64c4a,nazario5_001959_d5299ff0ee62,0.9612518,char_3_5gram_tfidf_cosine
nazario5_000262_6e43a3d64c4a,nazario5_001962_51ef1c5c4003,0.96102506,char_3_5gram_tfidf_cosine
nazario5_000262_6e43a3d64c4a,nazario5_001982_c8c60782a52f,0.96063274,char_3_5gram_tfidf_cosine
nazario5_000262_6e43a3d64c4a,nazario5_002233_9e4bac512fe6,0.95522577,char_3_5gram_tfidf_cosine
nazario5_000262_6e43a3d64c4a,nazario5_002954_332d832c805a,0.95683253,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_000365_62ad605b1c08,0.99244612,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_000366_da306c3c33bf,0.99235308,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_000368_3ffe0afefef0,0.95249832,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_000591_0e006c61b97c,0.9723987,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_000667_279845739081,0.96906173,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_001514_bc550f0f19d9,0.98513913,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_001686_3e9ade6a1288,0.98518836,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_001815_dd5939d46520,0.98510408,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_001839_e3e3a57a8961,0.98928231,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_001959_d5299ff0ee62,0.989429,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_001962_51ef1c5c4003,0.98815763,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_001982_c8c60782a52f,0.98839027,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_002016_2226c0df157c,0.96287304,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_002017_f164e4abbe5b,0.95875847,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_002233_9e4bac512fe6,0.97788203,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_002266_b77596ff5844,0.96889186,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_002334_2a2f65a3f53a,0.95860946,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_002540_12b3c870a329,0.96782506,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_002737_9124b23d3d41,0.96575707,char_3_5gram_tfidf_cosine
nazario5_000339_e73393e74196,nazario5_002954_332d832c805a,0.98383343,char_3_5gram_tfidf_cosine
nazario5_000358_0d992bb17205,nazario5_000360_b48abcb16c05,0.99550861,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_000366_da306c3c33bf,0.98994702,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_000368_3ffe0afefef0,0.95018131,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_000591_0e006c61b97c,0.97031915,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_000667_279845739081,0.96779025,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_001514_bc550f0f19d9,0.98343235,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_001686_3e9ade6a1288,0.98348659,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_001815_dd5939d46520,0.98340994,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_001839_e3e3a57a8961,0.98773414,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_001959_d5299ff0ee62,0.98782659,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_001962_51ef1c5c4003,0.98668551,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_001982_c8c60782a52f,0.98675448,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_002016_2226c0df157c,0.96113729,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_002017_f164e4abbe5b,0.9571473,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_002233_9e4bac512fe6,0.97641677,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_002266_b77596ff5844,0.96720499,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_002334_2a2f65a3f53a,0.95723337,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_002540_12b3c870a329,0.9657796,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_002737_9124b23d3d41,0.96368963,char_3_5gram_tfidf_cosine
nazario5_000365_62ad605b1c08,nazario5_002954_332d832c805a,0.98227608,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_000368_3ffe0afefef0,0.96018368,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_000591_0e006c61b97c,0.97132182,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_000667_279845739081,0.96749449,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_001514_bc550f0f19d9,0.98320019,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_001686_3e9ade6a1288,0.98324883,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_001815_dd5939d46520,0.98316228,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_001839_e3e3a57a8961,0.98755699,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_001959_d5299ff0ee62,0.98766845,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_001962_51ef1c5c4003,0.98635066,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_001982_c8c60782a52f,0.98662955,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_002016_2226c0df157c,0.96124583,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_002017_f164e4abbe5b,0.95709401,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_002233_9e4bac512fe6,0.97613639,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_002266_b77596ff5844,0.96766728,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_002334_2a2f65a3f53a,0.95768201,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_002540_12b3c870a329,0.96616,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_002737_9124b23d3d41,0.96406633,char_3_5gram_tfidf_cosine
nazario5_000366_da306c3c33bf,nazario5_002954_332d832c805a,0.9820677,char_3_5gram_tfidf_cosine
nazario5_000389_53b9afc7e9f7,nazario5_000391_0297eff281f4,1.0,exact_template_signature
nazario5_000422_c9603ef18505,nazario5_000429_3b0327fe69c2,1.0,exact_template_signature
nazario5_000433_5723e8458b19,nazario5_000468_4762a0a46d2c,0.9943164,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_000531_cead1422ac5f,0.96709478,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_000660_2b554099db80,0.95114744,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_001219_95fe482cbc23,0.96005952,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_001221_e0ab9b2e3222,0.95698726,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_001232_a31da942f0e5,0.95123428,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_001256_df03df77c1d4,0.95158076,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_001327_cfb809338d5c,0.95961082,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_001362_f3a28442ab7b,0.9561758,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_001370_18510b38a6b1,0.96105725,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_001396_e9d75d049a99,0.95311815,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_001426_aa02d003e2ef,0.95399517,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_001443_6a980d258984,0.95124346,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_001890_52fa00496fbe,0.97720438,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_002093_6039068f355c,0.97269607,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_002699_c4c8fdaa8a40,0.97733754,char_3_5gram_tfidf_cosine
nazario5_000433_5723e8458b19,nazario5_002784_da2973758df8,0.95491731,char_3_5gram_tfidf_cosine
nazario5_000468_4762a0a46d2c,nazario5_000531_cead1422ac5f,0.95427787,char_3_5gram_tfidf_cosine
nazario5_000468_4762a0a46d2c,nazario5_001890_52fa00496fbe,0.96219248,char_3_5gram_tfidf_cosine
nazario5_000468_4762a0a46d2c,nazario5_002093_6039068f355c,0.96020168,char_3_5gram_tfidf_cosine
nazario5_000468_4762a0a46d2c,nazario5_002699_c4c8fdaa8a40,0.96235818,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_000660_2b554099db80,0.95187128,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_000902_0632b29b975c,0.95202857,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_001000_987d25d8ebfc,0.95001155,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_001219_95fe482cbc23,0.96374011,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_001221_e0ab9b2e3222,0.96045077,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_001232_a31da942f0e5,0.95294076,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_001256_df03df77c1d4,0.95489323,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_001327_cfb809338d5c,0.9629119,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_001362_f3a28442ab7b,0.95746088,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_001370_18510b38a6b1,0.96484524,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_001396_e9d75d049a99,0.95567268,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_001397_a93bc8e1913c,0.95006859,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_001426_aa02d003e2ef,0.95627177,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_001443_6a980d258984,0.95371658,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_001890_52fa00496fbe,0.98218828,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_002093_6039068f355c,0.97426927,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_002699_c4c8fdaa8a40,0.9821986,char_3_5gram_tfidf_cosine
nazario5_000531_cead1422ac5f,nazario5_002784_da2973758df8,0.95807606,char_3_5gram_tfidf_cosine
nazario5_000565_3fa48c7f696e,nazario5_001051_b9fbbf22cce6,0.96191645,char_3_5gram_tfidf_cosine
nazario5_000565_3fa48c7f696e,nazario5_001053_fb59c1bc1242,0.95977944,char_3_5gram_tfidf_cosine
nazario5_000565_3fa48c7f696e,nazario5_001095_1f3da60ba1c0,0.95740044,char_3_5gram_tfidf_cosine
nazario5_000565_3fa48c7f696e,nazario5_002618_33c431e030cb,0.96478903,char_3_5gram_tfidf_cosine
nazario5_000591_0e006c61b97c,nazario5_000667_279845739081,0.95373642,char_3_5gram_tfidf_cosine
nazario5_000591_0e006c61b97c,nazario5_001514_bc550f0f19d9,0.97001618,char_3_5gram_tfidf_cosine
nazario5_000591_0e006c61b97c,nazario5_001686_3e9ade6a1288,0.97007024,char_3_5gram_tfidf_cosine
nazario5_000591_0e006c61b97c,nazario5_001815_dd5939d46520,0.96999574,char_3_5gram_tfidf_cosine
nazario5_000591_0e006c61b97c,nazario5_001839_e3e3a57a8961,0.97324646,char_3_5gram_tfidf_cosine
nazario5_000591_0e006c61b97c,nazario5_001959_d5299ff0ee62,0.97360784,char_3_5gram_tfidf_cosine
nazario5_000591_0e006c61b97c,nazario5_001962_51ef1c5c4003,0.97245151,char_3_5gram_tfidf_cosine
nazario5_000591_0e006c61b97c,nazario5_001982_c8c60782a52f,0.97244626,char_3_5gram_tfidf_cosine
nazario5_000591_0e006c61b97c,nazario5_002233_9e4bac512fe6,0.96324569,char_3_5gram_tfidf_cosine
nazario5_000591_0e006c61b97c,nazario5_002266_b77596ff5844,0.95483059,char_3_5gram_tfidf_cosine
nazario5_000591_0e006c61b97c,nazario5_002540_12b3c870a329,0.95473969,char_3_5gram_tfidf_cosine
nazario5_000591_0e006c61b97c,nazario5_002737_9124b23d3d41,0.95232171,char_3_5gram_tfidf_cosine
nazario5_000591_0e006c61b97c,nazario5_002954_332d832c805a,0.96724337,char_3_5gram_tfidf_cosine
